filename,true_label,ai_probability,pred_at_0.50,correct
hf_ai_f74f779aef.png,ai_generated,0.9938,ai_generated,yes
synthetic_0057.png,ai_generated,0.9985,ai_generated,yes
hf_ai_cf4b71edff.png,ai_generated,0.9932,ai_generated,yes
hf_ai_e061e3ea16.png,ai_generated,0.9916,ai_generated,yes
hf_ai_4de3cd3b6e.png,ai_generated,0.9971,ai_generated,yes
hf_ai_c9b55d55a9.png,ai_generated,0.9797,ai_generated,yes
synthetic_0011.png,ai_generated,0.9987,ai_generated,yes
gemini2.png,ai_generated,0.9650,ai_generated,yes
gemini8.png,ai_generated,0.9737,ai_generated,yes
hf_ai_f826db1f2c.png,ai_generated,0.9986,ai_generated,yes
synthetic_0022.png,ai_generated,0.9985,ai_generated,yes
hf_ai_c0870b82c0.png,ai_generated,0.9809,ai_generated,yes
hf_ai_ddb7b379e2.png,ai_generated,0.9965,ai_generated,yes
hf_ai_08a9e664fe.png,ai_generated,0.9981,ai_generated,yes
hf_ai_865a0af00d.png,ai_generated,0.9838,ai_generated,yes
synthetic_0013.png,ai_generated,0.9985,ai_generated,yes
hf_ai_79449d8984.png,ai_generated,0.9979,ai_generated,yes
hf_ai_14875f8e8f.png,ai_generated,0.9933,ai_generated,yes
gemini17.png,ai_generated,0.9973,ai_generated,yes
hf_ai_f69c742538.png,ai_generated,0.9971,ai_generated,yes
hf_ai_8251d1a8ca.png,ai_generated,0.9866,ai_generated,yes
hf_ai_607c6166ec.png,ai_generated,0.9960,ai_generated,yes
synthetic_0079.png,ai_generated,0.9984,ai_generated,yes
hf_ai_a882ea6116.png,ai_generated,0.9968,ai_generated,yes
hf_ai_7a3f63f7c1.png,ai_generated,0.9968,ai_generated,yes
hf_ai_4ef9193327.png,ai_generated,0.9899,ai_generated,yes
hf_ai_470ee4f004.png,ai_generated,0.9948,ai_generated,yes
synthetic_0097.png,ai_generated,0.9984,ai_generated,yes
hf_ai_c9e9890cf1.png,ai_generated,0.9947,ai_generated,yes
hf_ai_015e7932e8.png,ai_generated,0.9976,ai_generated,yes
hf_ai_64927e00ff.png,ai_generated,0.9680,ai_generated,yes
hf_ai_d74eeebcc1.png,ai_generated,0.9972,ai_generated,yes
gemini15.png,ai_generated,0.9349,ai_generated,yes
synthetic_0052.png,ai_generated,0.9982,ai_generated,yes
hf_ai_cd0ba55129.png,ai_generated,0.9918,ai_generated,yes
hf_ai_8fded5950b.png,ai_generated,0.9972,ai_generated,yes
hf_ai_1d469162f9.png,ai_generated,0.9897,ai_generated,yes
hf_ai_46bd2b0553.png,ai_generated,0.9773,ai_generated,yes
hf_ai_d2f28c9f58.png,ai_generated,0.9944,ai_generated,yes
output-1.jpg,ai_generated,0.9533,ai_generated,yes
synthetic_0094.png,ai_generated,0.9985,ai_generated,yes
synthetic_0039.png,ai_generated,0.9976,ai_generated,yes
hf_ai_742d99ee7a.png,ai_generated,0.9959,ai_generated,yes
synthetic_0082.png,ai_generated,0.9984,ai_generated,yes
hf_ai_871f0ff3fa.png,ai_generated,0.9964,ai_generated,yes
hf_ai_d80b1b2b4a.png,ai_generated,0.9858,ai_generated,yes
hf_ai_cddf267d61.png,ai_generated,0.9992,ai_generated,yes
hf_ai_642283a26e.png,ai_generated,0.9977,ai_generated,yes
hf_ai_90bfb28c5c.png,ai_generated,0.9986,ai_generated,yes
hf_ai_641ed4127e.png,ai_generated,0.9928,ai_generated,yes
hf_ai_ccec84bcf9.png,ai_generated,0.9976,ai_generated,yes
hf_ai_49e9463640.png,ai_generated,0.9848,ai_generated,yes
hf_ai_0d3a3dd355.png,ai_generated,0.9909,ai_generated,yes
hf_ai_798dd23ecb.png,ai_generated,0.9775,ai_generated,yes
synthetic_0054.png,ai_generated,0.9978,ai_generated,yes
synthetic_0056.png,ai_generated,0.9985,ai_generated,yes
hf_ai_4909c33b21.png,ai_generated,0.9970,ai_generated,yes
hf_ai_5722eb96f2.png,ai_generated,0.9977,ai_generated,yes
synthetic_0007.png,ai_generated,0.9984,ai_generated,yes
synthetic_0093.png,ai_generated,0.9986,ai_generated,yes
hf_ai_28b3f04854.png,ai_generated,0.9939,ai_generated,yes
